"campaignid","sample","family","genus","species","maxn"
"2019-08-Ningaloo_stereo-BRUVS",1.01,"Balistidae","Abalistes","stellatus",1
"2019-08-Ningaloo_stereo-BRUVS",1.01,"Carangidae","Carangoides","chrysophrys",1
"2019-08-Ningaloo_stereo-BRUVS",1.01,"Carangidae","Decapterus","spp",2
"2019-08-Ningaloo_stereo-BRUVS",1.01,"Carangidae","Gnathanodon","speciosus",2
"2019-08-Ningaloo_stereo-BRUVS",1.01,"Carcharhinidae","Unknown","sp10",1
"2019-08-Ningaloo_stereo-BRUVS",1.01,"Labridae","Coris","caudimacula",1
"2019-08-Ningaloo_stereo-BRUVS",1.01,"Nemipteridae","Pentapodus","nagasakiensis",9
"2019-08-Ningaloo_stereo-BRUVS",1.01,"Pinguipedidae","Parapercis","nebulosa",2
"2019-08-Ningaloo_stereo-BRUVS",1.01,"Sparidae","Argyrops","spinifer",1
"2019-08-Ningaloo_stereo-BRUVS",1.01,"Synodontidae","Saurida","undosquamis",2
"2019-08-Ningaloo_stereo-BRUVS",1.01,"Tetraodontidae","Lagocephalus","sceleratus",2
"2019-08-Ningaloo_stereo-BRUVS",1.02,"Carangidae","Carangoides","chrysophrys",2
"2019-08-Ningaloo_stereo-BRUVS",1.02,"Lethrinidae","Gymnocranius","grandoculis",2
"2019-08-Ningaloo_stereo-BRUVS",1.02,"Lutjanidae","Pristipomoides","multidens",3
"2019-08-Ningaloo_stereo-BRUVS",1.02,"Microdesmidae","Gunnellichthys","monostigma",1
"2019-08-Ningaloo_stereo-BRUVS",1.02,"Sparidae","Argyrops","spinifer",6
"2019-08-Ningaloo_stereo-BRUVS",1.02,"Synodontidae","Saurida","undosquamis",2
"2019-08-Ningaloo_stereo-BRUVS",1.03,"Balistidae","Abalistes","filamentosus",1
"2019-08-Ningaloo_stereo-BRUVS",1.03,"Carangidae","Carangoides","chrysophrys",1
"2019-08-Ningaloo_stereo-BRUVS",1.03,"Carangidae","Decapterus","spp",2
"2019-08-Ningaloo_stereo-BRUVS",1.03,"Carangidae","Seriola","dumerili",1
"2019-08-Ningaloo_stereo-BRUVS",1.03,"Carangidae","Seriola","rivoliana",2
"2019-08-Ningaloo_stereo-BRUVS",1.03,"Echeneidae","Echeneis","naucrates",1
"2019-08-Ningaloo_stereo-BRUVS",1.03,"Lethrinidae","Gymnocranius","grandoculis",1
"2019-08-Ningaloo_stereo-BRUVS",1.03,"Lethrinidae","Lethrinus","miniatus",3
"2019-08-Ningaloo_stereo-BRUVS",1.03,"Lethrinidae","Lethrinus","rubrioperculatus",2
"2019-08-Ningaloo_stereo-BRUVS",1.03,"Lutjanidae","Pristipomoides","filamentosus",1
"2019-08-Ningaloo_stereo-BRUVS",1.03,"Lutjanidae","Pristipomoides","multidens",4
"2019-08-Ningaloo_stereo-BRUVS",1.03,"Mullidae","Parupeneus","spilurus",1
"2019-08-Ningaloo_stereo-BRUVS",1.03,"Pinguipedidae","Parapercis","nebulosa",1
"2019-08-Ningaloo_stereo-BRUVS",1.03,"Synodontidae","Saurida","undosquamis",1
"2019-08-Ningaloo_stereo-BRUVS",1.04,"Balistidae","Abalistes","filamentosus",1
"2019-08-Ningaloo_stereo-BRUVS",1.04,"Carangidae","Carangoides","chrysophrys",1
"2019-08-Ningaloo_stereo-BRUVS",1.04,"Carangidae","Decapterus","spp",2
"2019-08-Ningaloo_stereo-BRUVS",1.04,"Labridae","Bodianus","solatus",2
"2019-08-Ningaloo_stereo-BRUVS",1.04,"Lethrinidae","Gymnocranius","grandoculis",2
"2019-08-Ningaloo_stereo-BRUVS",1.04,"Lethrinidae","Lethrinus","miniatus",2
"2019-08-Ningaloo_stereo-BRUVS",1.04,"Lethrinidae","Lethrinus","rubrioperculatus",3
"2019-08-Ningaloo_stereo-BRUVS",1.04,"Lutjanidae","Pristipomoides","multidens",8
"2019-08-Ningaloo_stereo-BRUVS",1.04,"Mullidae","Parupeneus","spilurus",1
"2019-08-Ningaloo_stereo-BRUVS",1.04,"Rachycentridae","Rachycentron","canadum",1
"2019-08-Ningaloo_stereo-BRUVS",1.04,"Serranidae","Epinephelus","areolatus",2
"2019-08-Ningaloo_stereo-BRUVS",1.04,"Triakidae","Mustelus","ravidus",1
"2019-08-Ningaloo_stereo-BRUVS",1.05,"Carangidae","Carangoides","chrysophrys",1
"2019-08-Ningaloo_stereo-BRUVS",1.05,"Carangidae","Decapterus","spp",4
