"campaignid","sample","family","genus","species"
"2019-08-Ningaloo_stereo-BRUVS",1.01,"Carcharhinidae","Unknown","sp10"
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Haemulidae","Diagramma","pictum"
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Labridae","Pseudojuloides","sp1"
"2019-08-Ningaloo_stereo-BRUVS",10.11,"Carcharhinidae","Carcharhinus","sp10"
"2019-08-Ningaloo_stereo-BRUVS",10.12,"Microdesmidae","Ptereleotris","sp1"
"2019-08-Ningaloo_stereo-BRUVS",10.12,"Muraenidae","Gymnothorax","sp5"
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Labridae","Unknown","sp7"
"2019-08-Ningaloo_stereo-BRUVS",10.14,"Haemulidae","Diagramma","pictum"
"2019-08-Ningaloo_stereo-BRUVS",10.15,"Labridae","Suezichthys","sp1"
"2019-08-Ningaloo_stereo-BRUVS",11.04,"Microdesmidae","Ptereleotris","sp1"
"2019-08-Ningaloo_stereo-BRUVS",11.06,"Labridae","Unknown","sp8"
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Carcharhinidae","Carcharhinus","sp10"
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Haemulidae","Diagramma","pictum"
"2019-08-Ningaloo_stereo-BRUVS",12.05,"Microdesmidae","Ptereleotris","sp1"
"2019-08-Ningaloo_stereo-BRUVS",12.11,"Nemipteridae","Parascolopsis","inermis"
"2019-08-Ningaloo_stereo-BRUVS",12.11,"Priacanthidae","Priacanthus","sp10"
"2019-08-Ningaloo_stereo-BRUVS",15.01,"Microdesmidae","Ptereleotris","sp1"
"2019-08-Ningaloo_stereo-BRUVS",15.12,"Rhynchobatidae","Rhynchobatus","australiae"
"2019-08-Ningaloo_stereo-BRUVS",16.02,"Muraenidae","Gymnothorax","sp1"
"2019-08-Ningaloo_stereo-BRUVS",16.03,"Carcharhinidae","Unknown","sp10"
"2019-08-Ningaloo_stereo-BRUVS",18.04,"Muraenidae","Gymnothorax","prionodon"
"2019-08-Ningaloo_stereo-BRUVS",18.04,"Muraenidae","Gymnothorax","sp3"
"2019-08-Ningaloo_stereo-BRUVS",18.04,"Pinguipedidae","Parapercis","sp1"
"2019-08-Ningaloo_stereo-BRUVS",18.07,"Labridae","Unknown","sp8"
"2019-08-Ningaloo_stereo-BRUVS",18.08,"Labridae","Unknown","sp8"
"2019-08-Ningaloo_stereo-BRUVS",19.01,"Microdesmidae","Ptereleotris","sp1"
"2019-08-Ningaloo_stereo-BRUVS",19.05,"Haemulidae","Diagramma","pictum"
