"campaignid","sample","family","genus","species","length","min.length","max.length","fb.length_max","reason","difference","percent.of.fb.max"
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Carangidae","Carangoides","chrysophrys",619.21661,108,612,720,"too big",7.21660999999995,86.0023069444444
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Labridae","Bodianus","solatus",338.18597,52.5,297.5,350,"too big",40.68597,96.6245628571429
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Labridae","Bodianus","solatus",348.61944,52.5,297.5,350,"too big",51.11944,99.6055542857143
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Labridae","Bodianus","solatus",346.02537,52.5,297.5,350,"too big",48.52537,98.8643914285714
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Triakidae","Mustelus","ravidus",668.85072,102.45,580.55,683,"too big",88.3007200000001,97.9283631039532
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Tetraodontidae","Lagocephalus","lunaris",415.39055,67.5,382.5,450,"too big",32.89055,92.3090111111111
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Synodontidae","Saurida","undosquamis",494.16868,75,425,500,"too big",69.16868,98.833736
"2019-08_Ningaloo_stereo-BRUVs",3.01,"Monacanthidae","Eubalichthys","caeruleoguttatus",357.25202,57,323,380,"too big",34.25202,94.0136894736842
"2019-08_Ningaloo_stereo-BRUVs",3.01,"Triakidae","Hemitriakis","falcata",729.55155,120,680,800,"too big",49.55155,91.19394375
"2019-08_Ningaloo_stereo-BRUVs",3.01,"Triakidae","Mustelus","ravidus",665.06931,102.45,580.55,683,"too big",84.51931,97.3747159590044
"2019-08_Ningaloo_stereo-BRUVs",4.01,"Triakidae","Hemitriakis","falcata",755.26577,120,680,800,"too big",75.26577,94.40822125
"2019-08_Ningaloo_stereo-BRUVs",4.08,"Carangidae","Carangoides","caeruleopinnatus",360.4688,61.5,348.5,410,"too big",11.9688,87.9192195121951
"2019-08_Ningaloo_stereo-BRUVs",5.07,"Balistidae","Abalistes","filamentosus",417.82981,67.5,382.5,450,"too big",35.32981,92.8510688888889
