"campaignid","sample","family","genus","species","family_correct","genus_correct","species_correct"
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Haemulidae","Diagramma","labiosum","Haemulidae","Diagramma","pictum labiosum"
"2019-08_Ningaloo_stereo-BRUVs",10.03,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08_Ningaloo_stereo-BRUVs",10.14,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08_Ningaloo_stereo-BRUVs",12.02,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08_Ningaloo_stereo-BRUVs",15.12,"Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"2019-08_Ningaloo_stereo-BRUVs",19.05,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08_Ningaloo_stereo-BRUVs",30.03,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08_Ningaloo_stereo-BRUVs",30.04,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08_Ningaloo_stereo-BRUVs",30.06,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08_Ningaloo_stereo-BRUVs",31.01,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08_Ningaloo_stereo-BRUVs",31.03,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08_Ningaloo_stereo-BRUVs",31.06,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08_Ningaloo_stereo-BRUVs",9.06,"Muraenidae","Gymnothorax","thrysoideus","Muraenidae","Gymnothorax","thyrsoideus"
"2019-08_Ningaloo_stereo-BRUVs",9.07,"Muraenidae","Gymnothorax","thrysoideus","Muraenidae","Gymnothorax","thyrsoideus"
"2019-08_Ningaloo_stereo-BRUVs",30.02,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08_Ningaloo_stereo-BRUVs",31.01,"Muraenidae","Gymnothorax","thrysoideus","Muraenidae","Gymnothorax","thyrsoideus"
