"campaignid","sample","family","genus","species","family_correct","genus_correct","species_correct"
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08-Ningaloo_stereo-BRUVS",10.14,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08-Ningaloo_stereo-BRUVS",12.02,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08-Ningaloo_stereo-BRUVS",15.12,"Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"2019-08-Ningaloo_stereo-BRUVS",19.05,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08-Ningaloo_stereo-BRUVS",3.03,"Haemulidae","Diagramma","labiosum","Haemulidae","Diagramma","pictum labiosum"
"2019-08-Ningaloo_stereo-BRUVS",30.02,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08-Ningaloo_stereo-BRUVS",30.03,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08-Ningaloo_stereo-BRUVS",30.04,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08-Ningaloo_stereo-BRUVS",30.06,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08-Ningaloo_stereo-BRUVS",31.01,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08-Ningaloo_stereo-BRUVS",31.01,"Muraenidae","Gymnothorax","thrysoideus","Muraenidae","Gymnothorax","thyrsoideus"
"2019-08-Ningaloo_stereo-BRUVS",31.03,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08-Ningaloo_stereo-BRUVS",31.06,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08-Ningaloo_stereo-BRUVS",5.13,"Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"2019-08-Ningaloo_stereo-BRUVS",9.06,"Muraenidae","Gymnothorax","thrysoideus","Muraenidae","Gymnothorax","thyrsoideus"
"2019-08-Ningaloo_stereo-BRUVS",9.07,"Muraenidae","Gymnothorax","thrysoideus","Muraenidae","Gymnothorax","thyrsoideus"
