"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","sqrt.slope","cube.Aspect","log.roughness","distance.to.ramp","status","cumsum.wi"
"cube.Aspect+distance.to.ramp","cube.Aspect+distance.to.ramp","s(cube.Aspect, k = 5, bs = ""cr"") + s(distance.to.ramp, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",2044.23394948158,2065.39178155626,0.00139,NA,13.02,0,0,0,0.997,0.978,0,1,0,1,0,0.997
"cube.Aspect","cube.Aspect","s(cube.Aspect, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",2057.17540763333,2073.26909911912,0.2018,NA,9,0,12.941,7.877,0.002,0.019,0,1,0,0,0,0.999
"cube.Aspect+status","cube.Aspect+status","s(cube.Aspect, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",2058.13059691946,2076.77628809224,0.07433,NA,10,0,13.897,11.385,0.001,0.003,0,1,0,0,1,1
"distance.to.ramp+sqrt.slope","distance.to.ramp+sqrt.slope","s(distance.to.ramp, k = 5, bs = ""cr"") + s(sqrt.slope, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",2222.37886202716,2243.53669410184,0.00365,NA,13.02,0,178.145,178.145,0,0,1,0,0,1,0,1
"distance.to.ramp+log.roughness","distance.to.ramp+log.roughness","s(distance.to.ramp, k = 5, bs = ""cr"") + s(log.roughness, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",2238.08031613501,2259.23814820969,0.00291,NA,13.02,0,193.846,193.846,0,0,0,0,1,1,0,1
"sqrt.slope","sqrt.slope","s(sqrt.slope, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",2243.53794839756,2259.63163988335,0.04401,NA,9,0,199.304,194.24,0,0,1,0,0,0,0,1
"sqrt.slope+status","sqrt.slope+status","s(sqrt.slope, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",2245.78714831622,2264.432839489,0.03877,NA,10,0,201.553,199.041,0,0,1,0,0,0,1,1
"log.roughness","log.roughness","s(log.roughness, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",2263.07155197334,2279.16524345914,0.07044,NA,9.01,0,218.838,213.773,0,0,0,0,1,0,0,1
"log.roughness+status","log.roughness+status","s(log.roughness, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",2265.32345949527,2283.96915066805,0.06939,NA,10.01,0,221.09,218.577,0,0,0,0,1,0,1,1
"distance.to.ramp","distance.to.ramp","s(distance.to.ramp, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",2308.90420865231,2324.99790013811,0.00109,NA,9.02,0,264.67,259.606,0,0,0,0,0,1,0,1
