"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","sqrt.slope","cube.Aspect","log.roughness","FlowDir","distance.to.ramp","status","cumsum.wi"
"log.roughness+status","log.roughness+status",507.965992661517,533.11886104429,0.20791,NA,6.8,0,0,1.562,0.286,0.224,0,0,1,0,0,1,0.286
"sqrt.slope+status","sqrt.slope+status",508.288429726384,533.48754347698,0.22001,NA,6.8,0,0.322,1.931,0.243,0.186,1,0,0,0,0,1,0.529
"FlowDir+log.roughness+status","FlowDir+log.roughness+status",510.10260479924,539.48271756005,0.2163,NA,8.35,0,2.137,7.926,0.098,0.009,0,0,1,1,0,1,0.627
"FlowDir+sqrt.slope+status","FlowDir+sqrt.slope+status",510.335253478566,539.217369475778,0.22423,NA,8.12,0,2.369,7.661,0.087,0.011,1,0,0,1,0,1,0.714
"FlowDir.by.status+log.roughness+status","FlowDir.by.status+log.roughness+status",511.129514637469,543.086254173428,0.2276,NA,9.45,0,3.164,11.53,0.059,0.002,0,0,1,1,0,1,0.773
"FlowDir.by.status+sqrt.slope+status","FlowDir.by.status+sqrt.slope+status",511.369933679812,543.273190554134,0.23692,NA,9.42,0,3.404,11.716,0.052,0.001,1,0,0,1,0,1,0.825
"status","status",511.534074809027,531.556693212302,0.21046,NA,5,0,3.568,0,0.048,0.489,0,0,0,0,0,1,0.873
"cube.Aspect+status","cube.Aspect+status",511.644762095609,536.616589018976,0.23467,NA,6.62,0,3.679,5.06,0.045,0.039,0,1,0,0,0,1,0.918
"FlowDir+status","FlowDir+status",512.523370735834,537.566853329886,0.22951,NA,6.68,0,4.557,6.01,0.029,0.024,0,0,0,1,0,1,0.947
"FlowDir.by.status+status","FlowDir.by.status+status",514.249220668152,541.811725139422,0.23749,NA,7.71,0,6.283,10.255,0.012,0.003,0,0,0,1,0,1,0.959
