"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","sqrt.slope","cube.Aspect","log.roughness","FlowDir","distance.to.ramp","status","cumsum.wi"
"cube.Aspect+distance.to.ramp","cube.Aspect+distance.to.ramp",683.207655090814,728.965398673965,0.439,NA,15.36,0,0,0,1,1,0,1,0,0,1,0,1
"distance.to.ramp+FlowDir","distance.to.ramp+FlowDir",709.723307598493,755.486999230925,0.43105,NA,15.25,0,26.516,26.522,0,0,0,0,0,1,1,0,1
"distance.to.ramp+FlowDir+sqrt.slope","distance.to.ramp+FlowDir+sqrt.slope",709.942447143818,757.6586741153,0.43413,NA,16.24,0,26.735,28.693,0,0,1,0,0,1,1,0,1
"distance.to.ramp+FlowDir+log.roughness","distance.to.ramp+FlowDir+log.roughness",712.017826753062,759.679390796692,0.43143,NA,16.23,0,28.81,30.714,0,0,0,0,1,1,1,0,1
"FlowDir.by.status+sqrt.slope.by.status+status","FlowDir.by.status+sqrt.slope.by.status+status",718.834019179029,774.398076112818,0.46318,NA,19.95,0,35.626,45.433,0,0,1,0,0,1,0,1,1
"distance.to.ramp+sqrt.slope","distance.to.ramp+sqrt.slope",729.187912152824,773.311451353118,0.42959,NA,14.65,0,45.98,44.346,0,0,1,0,0,0,1,0,1
"FlowDir+sqrt.slope.by.status+status","FlowDir+sqrt.slope.by.status+status",729.910812484159,783.54902303005,0.45615,NA,18.78,0,46.703,54.584,0,0,1,0,0,1,0,1,1
"distance.to.ramp","distance.to.ramp",733.767397115956,775.720093439443,0.42539,NA,13.61,0,50.56,46.755,0,0,0,0,0,0,1,0,1
"FlowDir.by.status+log.roughness.by.status+status","FlowDir.by.status+log.roughness.by.status+status",733.839218681839,789.432462787476,0.45523,NA,19.97,0,50.632,60.467,0,0,0,0,1,1,0,1,1
"distance.to.ramp+log.roughness","distance.to.ramp+log.roughness",735.789969932556,779.738573611221,0.42572,NA,14.59,0,52.582,50.773,0,0,0,0,1,0,1,0,1
