"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","sqrt.slope","cube.Aspect","log.roughness","distance.to.ramp","sd.relief","mean.relief","sqrt.reef","status","cumsum.wi"
"sd.relief","sd.relief","s(sd.relief, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",904.490893064845,923.136584237627,0.29156,NA,9.01,3,0,0,0.242,0.422,0,0,0,0,1,0,0,0,0.242
"cube.Aspect+sd.relief","cube.Aspect+sd.relief","s(cube.Aspect, k = 5, bs = ""cr"") + s(sd.relief, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",905.442471123239,929.071517668695,0.49631,NA,13.03,6,0.952,5.935,0.15,0.022,0,1,0,0,1,0,0,0,0.392
"sqrt.reef","sqrt.reef","s(sqrt.reef, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",906.135858086867,924.781549259649,0.17629,NA,9,0,1.645,1.645,0.106,0.185,0,0,0,0,0,0,1,0,0.498
"sd.relief+status","sd.relief+status","s(sd.relief, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",906.739137253413,927.896969328093,0.308,NA,10,3,2.248,4.76,0.079,0.039,0,0,0,0,1,0,0,1,0.577
"cube.Aspect+sqrt.reef","cube.Aspect+sqrt.reef","s(cube.Aspect, k = 5, bs = ""cr"") + s(sqrt.reef, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",907.107999922396,930.737046467853,0.40602,NA,13,2,2.617,7.6,0.065,0.009,0,1,0,0,0,0,1,0,0.642
"sqrt.reef+status","sqrt.reef+status","s(sqrt.reef, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",907.437790690915,928.595622765595,0.22994,NA,10,0,2.947,5.459,0.055,0.028,0,0,0,0,0,0,1,1,0.697
"cube.Aspect+sd.relief+status","cube.Aspect+sd.relief+status","s(cube.Aspect, k = 5, bs = ""cr"") + s(sd.relief, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",907.803912981276,933.862141446627,0.50405,NA,14.03,6,3.313,10.726,0.046,0.002,0,1,0,0,1,0,0,1,0.743
"distance.to.ramp+sd.relief","distance.to.ramp+sd.relief","s(distance.to.ramp, k = 5, bs = ""cr"") + s(sd.relief, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",908.951041219984,932.58008776544,0.25495,NA,13,1,4.46,9.444,0.026,0.004,0,0,0,1,1,0,0,0,0.769
"sd.relief+sqrt.slope","sd.relief+sqrt.slope","s(sd.relief, k = 5, bs = ""cr"") + s(sqrt.slope, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",908.958528186856,932.587574732313,0.29804,NA,13.08,5,4.468,9.451,0.026,0.004,1,0,0,0,1,0,0,0,0.795
"log.roughness+sd.relief","log.roughness+sd.relief","s(log.roughness, k = 5, bs = ""cr"") + s(sd.relief, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",909.066388251152,932.695434796608,0.29554,NA,13.07,5,4.575,9.559,0.025,0.004,0,0,1,0,1,0,0,0,0.82
