"","aspect.mean"
"1",NA
"2",4.65
"3",5.75
"4",7.8
"5",7.45
"6",6.2
"7",5.25
"8",6.85
"9",7.25
"10",5.4
"11",5.85
"12",3.6
"13",9.55
"14",6.5
"15",7
"16",6.85
"17",5.75
"18",8.1
"19",8.75
"20",8.75
"21",7.1
"22",7.95
"23",6.45
"24",6.95
"25",10.35
"26",5.75
"27",5.95
"28",8.7
"29",9.7
"30",5.1
"31",7.5
"32",4.9
"33",5
"34",8.95
"35",6.3
"36",4.45
"37",7.2
"38",10.95
"39",9.15
"40",7.65
"41",9.15
"42",6.2
"43",8.2
"44",5.1
"45",6.1
"46",10.45
"47",6.45
"48",7
"49",3.5
"50",6.95
"51",2.65
"52",4.35
"53",4.45
"54",3.4
"55",7.5
"56",4.7
"57",5.25
"58",4.05
"59",5.35
"60",6.8
"61",7.2
"62",7.1
"63",5.1
"64",5.15
"65",4.45
"66",5.8
"67",9.1
"68",10.1
"69",9.2
"70",10.55
"71",6.3
"72",8.5
"73",5.9
"74",5.55
"75",4.65
"76",5.95
"77",5.2
"78",7.15
"79",5.7
"80",5.15
"81",5.65
"82",7.3
"83",4.55
"84",5.8
"85",7.15
"86",4.55
"87",8.35
"88",4.5
"89",5
"90",8.5
"91",6.6
"92",10.6
"93",6.8
"94",7.05
"95",4.6
"96",6.4
"97",7.1
"98",6
"99",10.2
"100",7.35
"101",6.85
"102",4.8
"103",7.45
"104",7.2
"105",4.95
"106",7.75
"107",7.65
"108",5.45
"109",5.6
"110",5.65
"111",6.75
"112",6.2
"113",4.95
"114",8.6
"115",5.65
"116",8.95
"117",4.35
"118",5.9
"119",8
"120",6.35
"121",6.7
"122",6.05
"123",5.6
"124",5.8
"125",11.45
"126",7.4
"127",10.15
"128",4.3
"129",4.5
"130",5.45
"131",7.75
"132",7.25
"133",4.5
"134",6.55
"135",7.95
"136",2.95
"137",3.7
"138",8.8
"139",6.3
"140",5.15
"141",4.45
"142",5.8
"143",4.6
"144",9.95
"145",6.5
"146",6.45
"147",5.25
"148",7.4
"149",8.55
"150",4.25
"151",7.35
"152",10.3
"153",4.65
"154",9.35
"155",4.65
"156",4.9
"157",8.05
"158",6.05
"159",5.7
"160",7.85
"161",3.65
"162",8.55
"163",6.9
"164",3.8
"165",5.45
"166",5.7
"167",7.5
"168",5.9
"169",8.4
"170",7.45
"171",3.9
"172",7.05
"173",6.95
"174",6.3
"175",7.4
"176",8.5
"177",6.4
"178",10.95
"179",5.25
"180",5.35
"181",5.15
"182",3.5
"183",5.7
"184",9.35
"185",9.45
"186",7
"187",6.1
"188",9.9
"189",9.85
"190",4.9
"191",9.45
"192",5.2
"193",6.6
"194",4.4
"195",9
"196",4.95
"197",6.25
"198",8.1
"199",4.45
"200",6.65
"201",6.15
"202",4.5
"203",6.1
"204",6
"205",9.5
"206",8.05
"207",7.4
"208",11.35
"209",5.75
"210",7.05
"211",8.25
"212",4.55
"213",4.15
"214",3.35
"215",6.2
"216",7.75
"217",7.9
"218",4.5
"219",3.3
"220",4.15
"221",4.7
"222",8.15
"223",11.2
"224",8.6
"225",8.8
"226",6.2
"227",6.6
"228",8.4
"229",4.95
"230",6.5
"231",3.9
"232",7.05
"233",9.2
"234",6.1
"235",5.25
"236",5.7
"237",4.55
"238",6.6
"239",4.25
"240",6.25
"241",6.8
"242",5
"243",7.45
"244",3.5
"245",3.3
"246",10
"247",6.4
"248",4.6
"249",6.8
"250",2.7
"251",7.8
"252",4.15
"253",6.7
"254",5.2
"255",5.3
"256",5.7
"257",6.9
"258",7.05
"259",8.55
"260",5.05
"261",4.85
"262",9.55
"263",4.55
"264",8.15
"265",12.5
"266",6.4
"267",7.05
"268",6.1
"269",5
"270",4.5
"271",9.6
"272",3.55
"273",5.15
"274",3.9
"275",7.5
"276",5.2
"277",10
"278",11.45
"279",6.5
"280",8.35
"281",7.3
"282",7.85
"283",5.45
"284",6.05
"285",6.1
"286",4.1
"287",7
"288",4.55
"289",6.45
"290",8.75
"291",5.85
"292",5.95
"293",8.55
"294",3.35
"295",6.1
"296",8.55
"297",7
"298",5.5
"299",5.75
"300",7.7
"301",8.4
"302",9
"303",6.15
"304",5.35
"305",3.85
"306",6.05
"307",2.75
"308",4.35
"309",8.35
"310",5.55
"311",7.35
"312",7.15
"313",4.85
"314",10.7
"315",6.6
"316",5.75
"317",6
"318",5.2
"319",5.5
"320",4.25
"321",4.2
"322",7.35
"323",7.3
"324",6.65
"325",4.15
"326",6.65
"327",3.55
"328",10.65
"329",5.05
"330",2.25
"331",8.95
"332",5.5
"333",3.45
"334",9.4
"335",7.9
"336",6.35
"337",7.3
"338",6.7
"339",9.8
"340",5.5
"341",7.05
"342",4.45
"343",6.9
"344",7.75
"345",9
"346",6.35
"347",8.1
"348",10.45
"349",7.8
"350",5.8
"351",11.7
"352",7.7
"353",4.3
"354",3.4
"355",7.15
"356",8
"357",7.25
"358",6.15
"359",8.3
"360",10.2
"361",5.2
"362",7.35
"363",6.6
"364",8.6
"365",10
"366",3.25
"367",9.2
"368",6.15
"369",7
"370",5.75
"371",7.3
"372",9.65
"373",7.4
"374",6.7
"375",5.55
"376",8.15
"377",3.4
"378",6.85
"379",6.4
"380",8
"381",7.9
"382",9.15
"383",6.05
"384",7
"385",8
"386",10.05
"387",9.3
"388",3.05
"389",5.2
"390",6.1
"391",9.05
"392",5.75
"393",9.55
"394",3.5
"395",8.2
"396",7.7
"397",9.4
"398",5.45
"399",5.85
"400",8.25
"401",4.7
"402",6.85
"403",6.15
"404",5
"405",6.15
"406",5.1
"407",6.5
"408",7.65
"409",4.5
"410",5.4
"411",4.9
"412",4.45
"413",4.05
"414",8.25
"415",9.1
"416",4.65
"417",6.75
"418",4.4
"419",4.4
"420",3.55
"421",8.85
"422",4.95
"423",6.1
"424",5.3
"425",9.15
"426",4.95
"427",6.2
"428",5.35
"429",3.75
"430",7.4
"431",4.6
"432",7.25
"433",8.75
"434",5.65
"435",5.35
"436",10.9
"437",8.7
"438",5.35
"439",4.2
"440",6.55
"441",5.5
"442",5.5
"443",4.6
"444",6.75
"445",7.7
"446",4.55
"447",6.5
"448",6.85
"449",6.35
"450",4.4
"451",5.5
"452",5.25
"453",6.05
"454",5.6
"455",5.15
"456",8.35
"457",4.9
"458",5.7
"459",8.6
"460",3.9
"461",5.6
"462",6.7
"463",6.95
"464",5.45
"465",7.35
"466",7.65
"467",6.3
"468",6.25
"469",6.05
"470",6.85
"471",6.85
"472",7.35
"473",7.65
"474",5.25
"475",4.95
"476",6.45
"477",9.8
"478",9.1
"479",5.65
"480",11.3
"481",6.55
"482",6.2
"483",3.85
"484",8.1
"485",9.15
"486",7.85
"487",5.75
"488",8.6
"489",7.3
"490",6
"491",6.85
"492",6.05
"493",8.75
"494",8.05
"495",5
"496",7.15
"497",8.75
