"","bathy.mean"
"1",NA
"2",7.65
"3",8.7
"4",6.25
"5",8.575
"6",8.125
"7",9.15
"8",8.475
"9",8.275
"10",8.1
"11",8.15
"12",9.85
"13",9.925
"14",5.75
"15",8.25
"16",9.5
"17",7.675
"18",9.875
"19",8.425
"20",7.15
"21",8.375
"22",6.95
"23",9.3
"24",9.525
"25",7.975
"26",7.125
"27",9.775
"28",8.95
"29",10.275
"30",8.225
"31",10.175
"32",10.775
"33",6.8
"34",7.575
"35",9.45
"36",8.7
"37",7.075
"38",9.675
"39",8.75
"40",8.8
"41",10.825
"42",9.425
"43",7.85
"44",8.025
"45",9.5
"46",7.95
"47",6.925
"48",10.1
"49",9.175
"50",7.675
"51",9.675
"52",10.675
"53",8.35
"54",7.675
"55",10.15
"56",10.9
"57",8.2
"58",7.75
"59",8.3
"60",8.6
"61",8.975
"62",5.9
"63",7.1
"64",8.525
"65",7.75
"66",8.7
"67",8.25
"68",11.5
"69",9.025
"70",10.5
"71",9.225
"72",8.75
"73",9.2
"74",9.25
"75",9.775
"76",7.575
"77",6.725
"78",7.85
"79",8.9
"80",9.7
"81",8.2
"82",6.375
"83",7.95
"84",9.2
"85",6.85
"86",8.1
"87",9.575
"88",8.525
"89",9.875
"90",7.775
"91",8.875
"92",6.15
"93",9.925
"94",10.85
"95",8.05
"96",6.425
"97",12.2
"98",9.425
"99",11.175
"100",8.875
"101",9.125
"102",7.05
"103",8.575
"104",8.625
"105",9.25
"106",9.775
"107",8.7
"108",6.65
"109",6.225
"110",7.1
"111",6.9
"112",9.65
"113",10.625
"114",8
"115",10.875
"116",9.625
"117",11.5
"118",13.525
"119",8.525
"120",7.675
"121",7.325
"122",7.75
"123",11.2
"124",8.45
"125",6.175
"126",5.625
"127",9.775
"128",10.05
"129",9.6
"130",7.875
"131",10.3
"132",6.825
"133",7.875
"134",7.65
"135",8.1
"136",5.625
"137",8.1
"138",12.25
"139",8.325
"140",6.3
"141",9.275
"142",9.45
"143",11.075
"144",8.875
"145",9.4
"146",9.6
"147",9.775
"148",6.925
"149",9.5
"150",10
"151",11
"152",6.35
"153",10.175
"154",9.325
"155",8.625
"156",7.35
"157",10
"158",7.15
"159",9.95
"160",7.55
"161",9.6
"162",7.675
"163",6.65
"164",8.425
"165",8.775
"166",8.15
"167",10.075
"168",7.075
"169",9.225
"170",8.475
"171",7.525
"172",9.575
"173",6.875
"174",5.85
"175",7.175
"176",10.825
"177",8.175
"178",8.95
"179",8.55
"180",9.9
"181",7.9
"182",8.325
"183",7.65
"184",7.875
"185",8.225
"186",6.875
"187",7.9
"188",9.725
"189",9.15
"190",8.875
"191",9.775
"192",10.4
"193",5.875
"194",9.75
"195",8.175
"196",10.15
"197",9.125
"198",10.9
"199",7.975
"200",8.75
"201",10.975
"202",6.45
"203",8.775
"204",8.65
"205",17.525
"206",11.275
"207",8.975
"208",7.725
"209",8.525
"210",7.725
"211",9.75
"212",9.175
"213",9.15
"214",8.05
"215",7.5
"216",6.675
"217",5.775
"218",7.825
"219",7.35
"220",9.625
"221",6.675
"222",9.55
"223",9.025
"224",10.25
"225",10.875
"226",6.4
"227",11.175
"228",9.625
"229",9
"230",8.475
"231",10.35
"232",9.925
"233",8.05
"234",9.3
"235",7.6
"236",8.375
"237",5.3
"238",8.425
"239",7.8
"240",10.325
"241",8.475
"242",8.425
"243",7.075
"244",9.15
"245",8.4
"246",9.5
"247",8.6
"248",7.25
"249",9.05
"250",8.775
"251",7.675
"252",8.525
"253",7.825
"254",12.15
"255",7.375
"256",9.25
"257",9.8
"258",8.8
"259",8.975
"260",6.8
"261",8.7
"262",8.725
"263",8.15
"264",8.2
"265",11
"266",6.7
"267",8.225
"268",7.35
"269",8.775
"270",8.875
"271",8.5
"272",6.575
"273",6.275
"274",7.825
"275",8.25
"276",7.35
"277",9.325
"278",6.775
"279",8.6
"280",8.8
"281",8.85
"282",7.75
"283",7.575
"284",10.275
"285",9.7
"286",8.55
"287",10.025
"288",7.475
"289",8.975
"290",8.575
"291",9.45
"292",8.35
"293",8.575
"294",14.275
"295",13.9
"296",8.15
"297",9.625
"298",10.575
"299",6.325
"300",7.4
"301",10.725
"302",10.375
"303",9.225
"304",8.875
"305",10.725
"306",9.45
"307",6.15
"308",10.925
"309",8.35
"310",7.65
"311",13.725
"312",12
"313",7.95
"314",8
"315",7.9
"316",8.325
"317",11.975
"318",12.375
"319",6.5
"320",8.325
"321",7.275
"322",9.575
"323",8.775
"324",7.85
"325",5.55
"326",8.525
"327",5.175
"328",7.95
"329",9.575
"330",9.825
"331",10.375
"332",9.975
"333",9.525
"334",9.05
"335",6.5
"336",8.475
"337",6.475
"338",8.825
"339",10.275
"340",8.375
"341",9.65
"342",9.125
"343",7.8
"344",10.45
"345",7.925
"346",8.6
"347",11.875
"348",9.05
"349",9.2
"350",6.275
"351",8.575
"352",7.125
"353",9.525
"354",11.5
"355",7.65
"356",11.625
"357",11.375
"358",11.175
"359",9.9
"360",9.85
"361",7.625
"362",7.225
"363",10.225
"364",7.225
"365",8.225
"366",9.175
"367",6.325
"368",8.775
"369",7.3
"370",9.075
"371",6.875
"372",10.175
"373",7.6
"374",8.85
"375",8.75
"376",9.4
"377",7.4
"378",7.425
"379",8.65
"380",8.625
"381",11.05
"382",6.4
"383",9.275
"384",9.2
"385",8.7
"386",11.05
"387",9.775
"388",9.925
"389",6.975
"390",6.5
"391",7.075
"392",7.575
"393",7.475
"394",6.425
"395",10.85
"396",6.7
"397",7.65
"398",9.15
"399",8.75
"400",9.275
"401",7.7
"402",8.35
"403",7.1
"404",9.375
"405",8.6
"406",9.9
"407",7.375
"408",10.575
"409",8.75
"410",7.825
"411",9.2
"412",8.95
"413",10.025
"414",9.575
"415",12.025
"416",8.25
"417",8.875
"418",7.9
"419",8.075
"420",7.175
"421",10.95
"422",10.15
"423",12.625
"424",7.725
"425",6.675
"426",6.225
"427",11.75
"428",6.475
"429",9.2
"430",8.775
"431",8.925
"432",8.4
"433",7.525
"434",6.85
"435",8.45
"436",9.725
"437",5.675
"438",8.25
"439",8.15
"440",9.375
"441",12.675
"442",10.4
"443",8.35
"444",8.925
"445",10.45
"446",7.05
"447",7.1
"448",11.35
"449",8.525
"450",10.625
"451",8.15
"452",10.325
"453",9.1
"454",8.125
"455",8.5
"456",6.75
"457",8.725
"458",9.9
"459",8.4
