"","relief.mean"
"1",NA
"2",15.15
"3",13.75
"4",13.85
"5",18.1
"6",13
"7",17.25
"8",17.3
"9",11.95
"10",18.7
"11",20
"12",14.55
"13",15.9
"14",12.5
"15",9.7
"16",24.2
"17",11.65
"18",15
"19",21.35
"20",17.7
"21",17.85
"22",19.45
"23",19.5
"24",13.35
"25",17.65
"26",13.8
"27",14.1
"28",18.2
"29",21.9
"30",22.3
"31",19.95
"32",17.1
"33",16.1
"34",15.3
"35",17.25
"36",10.6
"37",12.6
"38",24.7
"39",30.05
"40",8.1
"41",18.05
"42",27.5
"43",18.5
"44",10.9
"45",16.4
"46",13.6
"47",18.85
"48",20.9
"49",28.5
"50",11.95
"51",17.05
"52",8.5
"53",13.25
"54",18.35
"55",12.2
"56",17.65
"57",18.95
"58",13.95
"59",20.1
"60",14.25
"61",12.35
"62",18.15
"63",18.15
"64",16.15
"65",22.15
"66",24.25
"67",19.9
"68",15.75
"69",14.55
"70",17.85
"71",10.5
"72",19.6
"73",15.45
"74",8.85
"75",17.25
"76",11.55
"77",22.25
"78",18.45
"79",18.65
"80",15.2
"81",31.4
"82",15.2
"83",16.7
"84",17.2
"85",13.85
"86",18.5
"87",27.7
"88",22.45
"89",14.85
"90",33.45
"91",12
"92",12.7
"93",19
"94",13.9
"95",16.65
"96",14.15
"97",16
"98",12.5
"99",9.4
"100",12.9
"101",14.3
"102",14.85
"103",14.75
"104",23.65
"105",13.6
"106",17.55
"107",16.6
"108",16.95
"109",10.8
"110",11.7
"111",11.35
"112",15.9
"113",30.6
"114",24.3
"115",22.75
"116",23.15
"117",16.35
"118",10.65
"119",18.3
"120",16.75
"121",28.7
"122",22.4
"123",20.2
"124",16.95
"125",10.55
"126",16.4
"127",15.05
"128",10.7
"129",15.4
"130",11.05
"131",27.7
"132",19.55
"133",23.85
"134",14.55
"135",16.65
"136",15.85
"137",11.05
"138",16.1
"139",21.3
"140",27.9
"141",16.45
"142",12.8
"143",19.4
"144",16.85
"145",21
"146",21.4
"147",13.95
"148",14.25
"149",13.3
"150",24.7
"151",23.75
"152",11.65
"153",18.8
"154",15.35
"155",17.55
"156",16.45
"157",13.15
"158",10.3
"159",20.55
"160",15.05
"161",16.7
"162",22.05
"163",16.4
"164",20.45
"165",21
"166",14.15
"167",30.35
"168",10.8
"169",18.6
"170",23.35
"171",19.6
"172",29.8
"173",18.1
"174",19.2
"175",12.35
"176",11.8
"177",13.2
"178",17.7
"179",15.25
"180",15
"181",12.8
"182",14.95
"183",19.45
"184",10.65
"185",12.7
"186",18.5
"187",19.8
"188",21.45
"189",19.25
"190",19.7
"191",17.9
"192",15.85
"193",11.85
"194",21.45
"195",15.6
"196",16.3
"197",15.8
"198",15.85
"199",14.1
"200",19.65
"201",21.35
"202",12.35
"203",24.65
"204",16.35
"205",24.25
"206",8.75
"207",17.95
"208",11.95
"209",17.6
"210",16.6
"211",20.35
"212",20.9
"213",13.65
"214",15.15
"215",20.95
"216",11.95
"217",10.5
"218",10.5
"219",20.8
"220",15.45
"221",18
"222",19.25
"223",19.25
"224",17.15
"225",21.75
"226",14.25
"227",18.25
"228",15.45
"229",22.1
"230",14.45
"231",19.1
"232",16.6
"233",16.2
"234",16.6
"235",33.45
"236",17.85
"237",14.35
"238",17.45
"239",15.8
"240",20.45
"241",22.55
"242",34.4
"243",14.3
"244",14.25
"245",11.2
"246",15.35
"247",9.75
"248",15
"249",16.25
"250",13.55
"251",17.8
"252",17
"253",13.8
"254",33.6
"255",18.15
"256",16.65
"257",21.8
"258",12.7
"259",10.8
"260",16.45
"261",14.7
"262",13.75
"263",19.2
"264",17.5
"265",20.1
"266",23.05
"267",22.3
"268",15.4
"269",21.45
"270",18.15
"271",12.7
"272",11
"273",16.75
"274",19.6
"275",22.5
"276",19.3
"277",12.05
"278",18.15
"279",18.6
"280",31.05
"281",14
"282",20.05
"283",27.4
"284",15.75
"285",18.1
"286",15.55
"287",23.65
"288",13.6
"289",20.25
"290",18.55
"291",11.55
"292",20.95
"293",14
"294",17.7
"295",21.15
"296",26.25
"297",9.3
"298",18.15
"299",14.2
"300",39.45
"301",13.95
"302",21.95
"303",14.3
"304",23.8
"305",23.55
"306",13.55
"307",13.9
"308",13.1
"309",21.3
"310",16.85
"311",8.7
"312",13.1
"313",30.5
"314",18.2
"315",15.05
"316",17.7
"317",19.65
"318",19.05
"319",12.95
"320",21.85
"321",11.65
"322",12.65
"323",25.65
"324",15
"325",12.9
"326",12.45
"327",10.65
"328",15.2
"329",14.25
"330",17.25
"331",12.35
"332",13.6
"333",21.35
"334",11.2
"335",12.85
"336",19.75
"337",11.7
"338",8.95
"339",14.1
"340",31.85
"341",21.3
"342",21.6
"343",15.4
"344",15.15
"345",19.65
"346",10.7
"347",16.15
"348",12.65
"349",27
"350",18.4
"351",20.9
"352",20.15
"353",18.95
"354",14
"355",12.1
"356",16.95
"357",19.8
"358",29.95
"359",15.1
"360",15.6
"361",19.4
"362",11
"363",16.25
"364",18.9
"365",16.2
"366",19.15
"367",12.9
"368",13.95
"369",12.5
"370",8.25
"371",16.05
"372",19.3
"373",16.8
"374",22.05
"375",22.85
"376",21.6
"377",18.5
"378",15.2
"379",24.35
"380",20.5
"381",14.35
"382",16.2
"383",15.35
"384",14.8
"385",22.3
"386",16.95
"387",11.95
"388",25.35
"389",14.95
"390",12.15
"391",21.25
"392",20.05
"393",15.3
"394",17.65
"395",12.95
"396",20.6
"397",17.8
"398",15.25
"399",15.3
