"","status.mean"
"1",NA
"2",2.075
"3",1.4875
"4",2.825
"5",0.435
"6",1.1025
"7",2.1025
"8",0.892499999999999
"9",2.2
"10",2.6475
"11",0.335
"12",0.4975
"13",1.62
"14",2.2825
"15",0.3075
"16",1.9725
"17",2.3075
"18",3.805
"19",1.98
"20",2.0775
"21",0.185
"22",0.71
"23",2.4025
"24",0.6225
"25",0.575
"26",1.81
"27",1.8
"28",3.005
"29",0.82
"30",0.77
"31",3.3825
"32",3.5675
"33",0.44
"34",0.1775
"35",0.119999999999999
"36",3.925
"37",3.16
"38",1.425
"39",1.095
"40",4.43
"41",2.85
"42",3.3775
"43",0.892499999999999
"44",0.889999999999999
"45",0.432500000000001
"46",1.4775
"47",2.3225
"48",1.4425
"49",1.115
"50",4.95
"51",3.015
"52",3
"53",3.0725
"54",1.3375
"55",4.7075
"56",0.5025
"57",2.6825
"58",2.1925
"59",2.315
"60",3.955
"61",0.8675
"62",2.72
"63",2.9075
"64",0.2275
"65",2.2175
"66",2.745
"67",3.045
"68",1.8975
"69",3.685
"70",3.5
"71",2.335
"72",4.265
"73",5.005
"74",2.785
"75",0.2375
"76",1.4875
"77",1.885
"78",1.4675
"79",2.3275
"80",2.8725
"81",1.455
"82",1.3925
"83",0.0599999999999996
"84",2.2775
"85",0.0649999999999995
"86",2.535
"87",0.0700000000000003
"88",1.7375
"89",1.66
"90",1.4375
"91",2.175
"92",3.56
"93",5.6
"94",3.0775
"95",2.5275
"96",2.9975
"97",2.1025
"98",2.5
"99",2.27
"100",1.255
"101",1.8625
"102",3.3
"103",2.4425
"104",1.7625
"105",2.7525
"106",1.225
"107",0.194999999999999
"108",0.427499999999999
"109",0.2425
"110",1.7725
"111",1.74
"112",2.9975
"113",1.7975
"114",1.46
"115",2.0775
"116",1.86
"117",1.2175
"118",0.3775
"119",4.6125
"120",2.68
"121",2.94
"122",1.8325
"123",2.665
"124",3.0425
"125",0.3575
"126",3.7075
"127",0.17
"128",2.32
"129",2.11
"130",0.672499999999999
"131",1.7425
"132",2.325
"133",1.1875
"134",3.45
"135",1.7825
"136",2.255
"137",1.345
"138",1.835
"139",0.8325
"140",1.3375
"141",2.0275
"142",1.7625
"143",2.0025
"144",3.65
"145",2.3025
"146",2.39
"147",3.04
"148",1.5625
"149",0.805
"150",0.17
"151",1.175
"152",2.3425
"153",0.76
"154",0.0225000000000009
"155",0.925
"156",2.56
"157",1.275
"158",1.915
"159",1.07
"160",2.175
"161",1.15
"162",0.215000000000001
"163",2.9175
"164",0.7925
"165",3.68
"166",2.9
"167",2.2625
"168",3.61
"169",2.145
"170",1.2525
"171",2.5275
"172",3.1225
"173",3.015
"174",0.0499999999999998
"175",0.225000000000001
"176",2.275
"177",0.545
"178",2.3625
"179",2.725
"180",2.13
"181",0.595
"182",0.135
"183",0.925
"184",1.455
"185",1.4325
"186",3.6625
"187",1.6125
"188",2.3925
"189",1.9475
"190",2.4675
"191",3.2225
"192",2.8175
"193",0.8825
"194",0.880000000000001
"195",0.12
"196",3.8475
"197",2.98
"198",1.5125
"199",2.225
"200",2.1675
"201",1.645
"202",1.0425
"203",1.375
"204",0.5325
"205",0.9025
"206",3.2675
"207",2.53
"208",2.3125
"209",0.8775
"210",0.0274999999999999
"211",2.905
"212",1.9375
"213",2.51
"214",1.2475
"215",0.600000000000001
"216",1.1275
"217",1.495
"218",3.93
"219",2.0725
"220",2.8
"221",0.7375
"222",2.74
"223",2.285
"224",2.925
"225",0.2075
"226",4.11
"227",1.065
"228",2.0525
"229",5.7425
"230",1.43
"231",0.970000000000001
"232",1.4675
"233",1.2425
"234",1.955
"235",1.6725
"236",1.705
"237",0.9075
"238",0.342499999999999
"239",0.98
"240",4.005
"241",0.8675
"242",1.32
"243",1.55
"244",2.5775
"245",4.3925
"246",3.035
"247",3.0525
"248",2.2275
"249",1.88
"250",0.76
"251",4.09
"252",1.265
"253",1.01
"254",1.15
"255",1.285
"256",2.045
"257",4.0825
"258",2.86
"259",0.6075
"260",3.615
"261",2.7825
"262",1.6225
"263",2.7325
"264",2.1
"265",2.2375
"266",1.9525
"267",1.3975
"268",1.115
"269",0.8325
"270",1.5425
"271",2.4025
"272",2.4275
"273",2.04
"274",2.8675
"275",1.595
"276",1.005
"277",1.125
"278",2.115
"279",1.8575
"280",0.955
"281",2.8075
"282",1.845
"283",0.7775
"284",1.3825
"285",0.8725
"286",2.31
"287",2
"288",1.565
"289",2.665
"290",1.16
"291",3.155
"292",3.3475
"293",1.3725
"294",2.9175
"295",2.1975
"296",0.2225
"297",4.0075
"298",2.86
"299",1.3
"300",1.18
"301",0.999999999999999
"302",2.6525
"303",3.7525
"304",1.8475
"305",2.6825
"306",2.3675
"307",1.2175
"308",6.7
"309",2.9225
"310",2.01
"311",0.602499999999999
"312",2.0175
"313",1.035
"314",0.602500000000001
"315",1.9475
"316",3.27
"317",0.8975
"318",3.03
"319",2.095
"320",0.355
"321",0.3225
"322",0.3425
"323",2.505
"324",1.0075
"325",1.2325
"326",0.1375
"327",1.8525
"328",2.03
"329",1.895
"330",1.5775
"331",2.885
"332",2.4775
"333",1.9075
"334",1.3425
"335",2.5475
"336",1.96
"337",0.6275
"338",2.7225
"339",0.854999999999999
"340",0.8475
"341",1.7425
"342",1.63
"343",3.9725
"344",1.31
"345",2.425
"346",0.56
"347",2.49
"348",0.865
"349",3.265
"350",2.4325
"351",1.5725
"352",1.695
"353",2.1925
"354",3.505
"355",3.3975
"356",0.1625
"357",4.68
"358",0.0625
"359",2.0475
"360",3.535
"361",1.5675
"362",1.515
"363",3.215
"364",1.8375
"365",2.42
"366",1.22
"367",0.355
"368",2.4125
"369",1.7175
"370",3.605
"371",2.15
"372",3.9925
"373",1.7675
"374",1.9775
"375",1.785
"376",1.4875
"377",3.065
"378",2.715
"379",1.25
"380",1.52
"381",1.665
"382",4.6675
"383",2.5375
"384",1.82
"385",0.00499999999999989
"386",1.75
"387",1.8225
"388",2.655
"389",1.35
"390",2.1825
"391",1.79
"392",3.0625
"393",0.5775
"394",2.18
"395",1.48
"396",2.1525
"397",2.1775
"398",1.225
"399",3.1675
"400",1.98
"401",4.7425
"402",4.25
"403",1.665
"404",3.9275
"405",0.335
"406",0.0225000000000009
"407",4.4475
"408",6.545
"409",1.385
"410",2.9275
"411",3.5125
"412",2.2025
"413",1.79
"414",2.5275
"415",4.075
"416",2.3375
"417",0.3925
"418",1.605
"419",1.1925
"420",0.955
"421",3.5075
"422",1.4325
"423",0.3875
"424",2.845
"425",2.5875
"426",2.07
"427",1.42
"428",2.15
"429",3.795
"430",1.7225
"431",2.44
"432",1.94
"433",2.06
"434",3.1175
"435",4.2675
"436",2.7475
"437",0.637499999999999
"438",0.487499999999999
"439",2.9725
"440",0.652499999999999
"441",1.01
"442",0.0850000000000009
"443",2.7025
"444",1.2525
"445",1.0325
"446",2.36
"447",1.425
"448",3.205
"449",1.43
"450",2.125
"451",2.5075
"452",1.9575
"453",1.93
"454",0.9975
"455",3.2225
"456",0.444999999999999
"457",0.597499999999999
"458",0.0700000000000003
"459",2.775
"460",1.88
"461",3.345
"462",2.075
"463",2.135
"464",4.665
"465",1.68
"466",0.1875
"467",3.19
"468",1.26
"469",2.1825
"470",2.4575
"471",1.475
"472",3.1125
"473",2.2025
"474",1.2725
"475",1.2675
"476",1.34
"477",1.13
"478",4.17
"479",2.1875
"480",0.755000000000001
"481",1.35
"482",3.155
"483",2.555
"484",3.2475
"485",3.1275
"486",1.055
"487",0.6575
"488",0.48
"489",0.35
"490",0.302499999999998
"491",0.9975
"492",0.399999999999999
"493",2.2975
"494",1.4525
"495",2.19
"496",1.0525
"497",2.055
"498",0.382499999999999
"499",2.2725
"500",1.575
"501",1.4875
"502",2.215
"503",1.995
"504",3.4225
"505",1.61
"506",2.1325
"507",1.85
"508",1.99
"509",2.275
"510",2.245
"511",0.4725
"512",0.507499999999999
"513",0.9975
"514",2.475
"515",2.4875
"516",0.155
"517",2.6825
"518",0.180000000000001
"519",1.1375
"520",2.5475
"521",2.36
"522",2.2225
"523",3.48
"524",0.649999999999999
"525",0.1375
"526",3.3775
"527",1.2175
"528",1.39
"529",0.8975
"530",2.4175
"531",0.87
"532",1.1625
"533",2.1975
"534",2.2625
"535",1.12
"536",1.32
"537",1.3175
"538",0.625000000000001
"539",0.2475
"540",3.145
"541",1.365
"542",0.95
"543",1.3175
"544",0.592499999999999
"545",2.2
"546",1.8125
"547",0.1275
"548",1.4225
"549",0.6475
"550",1.77
"551",3.3025
"552",2.065
"553",3.2325
"554",2.51
"555",5.425
"556",0.592499999999999
"557",0.534999999999999
"558",1.575
"559",2.675
"560",0.0499999999999998
"561",0.4275
"562",1.2025
"563",1.3425
"564",1.1
"565",1.5275
"566",0.7075
"567",2.7575
"568",1.7025
"569",3.755
"570",2.3675
"571",1.28
"572",0.255
"573",3.665
"574",1.7075
"575",2.895
"576",0.404999999999999
"577",0.712499999999999
"578",0.265
"579",1.6725
"580",1.3075
"581",1.29
"582",1.59
"583",0.2875
"584",2.5
"585",0.732499999999999
"586",1.6675
"587",3.3425
"588",0.0350000000000001
"589",0.777499999999999
"590",4.0275
"591",0.545
"592",1.3875
"593",1.1
"594",2.3575
"595",1.1125
"596",1.3775
"597",0.735
"598",1.97
"599",1.2675
"600",3.9575
"601",2.46
"602",1.5975
"603",2.2
"604",1.4075
"605",0.7
"606",2.18
"607",1.3225
"608",2.6225
"609",1.9175
"610",0.48
"611",0.739999999999998
"612",2.09
"613",0.8075
"614",2.26
"615",2.39
"616",1.5475
"617",2.1925
"618",2.0425
"619",1.1475
"620",2.255
"621",3.275
"622",1.24
"623",1.12
"624",2.115
"625",4.54
"626",1.955
"627",1.57
"628",2.1475
"629",0.67
"630",1.5075
"631",1.97
"632",2.635
"633",1.995
"634",1.9525
"635",1.6475
"636",0.0125000000000002
"637",0.4475
"638",1.2575
"639",1.5275
"640",1.67
"641",0.4225
"642",1.91
"643",2.305
"644",3.0675
"645",2.3225
"646",1.035
"647",1.8225
"648",0.774999999999999
"649",1.1175
"650",0.44
"651",2.68
"652",2.02
"653",2.4775
"654",0.8725
"655",1.195
"656",2.7725
"657",2.045
"658",1.045
"659",4.28
"660",2.0025
"661",2.0325
"662",1.6125
"663",1.0525
"664",0.98
"665",0.640000000000001
"666",0.0650000000000004
"667",0.5175
"668",4.055
"669",1.4525
"670",2.4525
"671",2.74
"672",1.525
"673",1.2725
"674",0.657500000000001
"675",3.2125
"676",1.43
"677",1.7525
"678",2.205
"679",2.175
"680",1.5575
"681",3.275
"682",0.225
"683",1.97
"684",0.9575
"685",0.16
"686",1.4725
"687",1.9575
"688",0.637499999999999
"689",2.51
"690",0.4325
"691",0.954999999999999
"692",2.095
"693",1.655
"694",2.535
"695",0.4175
"696",1.65
"697",2.555
"698",2.405
"699",1.1625
"700",3.405
"701",2.1925
"702",1.575
"703",3.1825
"704",2.8525
"705",4.5375
"706",1.6875
"707",3.14
"708",1.15
"709",4.1525
"710",1.235
"711",3.0325
"712",2.2175
"713",2.0575
"714",0.0999999999999996
"715",1.17
"716",3.025
"717",2.29
"718",3.99
"719",1.3575
"720",0.789999999999999
"721",1.325
"722",0.750000000000001
"723",1.5625
"724",1.3825
"725",0.534999999999999
"726",1.835
"727",1.4275
"728",0.1775
"729",0.617500000000001
"730",2.045
"731",2.875
"732",1.415
"733",1.6675
"734",1.3625
"735",2.8575
"736",1.6725
"737",1.9975
"738",3.9225
"739",3.105
"740",0.8925
"741",0.994999999999999
"742",0.7825
"743",2.3075
"744",1.9575
"745",2.705
"746",1.29
"747",2.7475
"748",1.985
"749",0.7725
"750",1.0025
"751",2.305
"752",1.955
"753",1.01
"754",3.97
"755",1.8025
"756",2.56
"757",4.1575
"758",1.9975
"759",1.195
"760",2.87
"761",2.22
"762",1.155
"763",3.6925
"764",2.6075
"765",3.3875
"766",2.5575
"767",3.5425
"768",2.4375
"769",0.56
"770",0.4925
"771",2.9225
"772",1.9075
"773",1.785
"774",2.03
"775",1.5975
"776",0.9275
"777",1.205
"778",1.3
"779",1.2775
"780",1.3575
"781",2.07
"782",2.2125
"783",2.6925
"784",1.81
"785",0.1575
"786",1.5925
"787",4.0725
"788",2.675
"789",3.19
"790",2.2275
"791",0.7325
"792",1.1
"793",2.3725
"794",1.7375
"795",2.5925
"796",3.64
"797",1.2625
"798",2.4175
"799",1.6675
"800",1.73
"801",0.595000000000001
"802",4.6875
"803",1.6775
"804",2.08
"805",0.5875
"806",1.275
"807",0.8975
"808",1.8825
"809",2.04
"810",4.3925
"811",3.5175
"812",1.325
"813",2.55
"814",2.715
"815",2.0125
"816",1.985
"817",0.4425
"818",0.67
"819",1.7175
"820",1.095
"821",1.8625
"822",2.5925
"823",0.615
"824",1.62
"825",1.34
"826",1.275
"827",1.925
"828",0.7925
"829",1.975
"830",0.1775
"831",0.375
"832",0.0399999999999991
"833",2.1875
"834",1.9475
"835",2.1225
"836",1.85
"837",2.05
"838",3.12
"839",1.7475
"840",2.61
"841",1.625
