"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","bathymetry","TPI","sqrt.slope","Aspect","log.roughness","FlowDir","mean.relief","sd.relief","sqrt.reef","distance.to.ramp","status","cumsum.wi"
"Legal","bathymetry+distance.to.ramp+sqrt.reef",555.856746942045,574.872456134306,0.23019,NA,5.92,1,0,0,0.862,0.807,1,0,0,0,0,0,0,0,1,1,0,0.862
"Sublegal.bathymetry+sd.relief","bathymetry+sd.relief",331.755202345517,348.167662539067,0.1213,NA,4,0,0,4.155,0.065,0.041,1,0,0,0,0,0,0,1,0,0,0,0.065
"Sublegal.sd.relief","sd.relief",332.30406440027,346.069322566642,0.10503,NA,3,0,0.549,2.057,0.05,0.118,0,0,0,0,0,0,0,1,0,0,0,0.115
"Sublegal.null","null",332.933422710052,344.012706853461,0.098,NA,2,0,1.178,0,0.036,0.329,0,0,0,0,0,0,0,0,0,0,0,0.151
"Sublegal.bathymetry","bathymetry",333.066524505177,346.839651828784,0.10934,NA,3,0,1.311,2.827,0.034,0.08,1,0,0,0,0,0,0,0,0,0,0,0.185
"Sublegal.bathymetry+FlowDir+sd.relief","bathymetry+FlowDir+sd.relief",333.838527752447,352.863151719069,0.12189,NA,5,0,2.083,8.85,0.023,0.004,1,0,0,0,0,1,0,1,0,0,0,0.208
"Sublegal.bathymetry+sd.relief+TPI","bathymetry+sd.relief+TPI",334.119065595383,353.144007666484,0.12119,NA,5,0,2.364,9.131,0.02,0.003,1,1,0,0,0,0,0,1,0,0,0,0.228
"Sublegal.sd.relief+status","sd.relief+status",334.183925757245,350.598012823816,0.10634,NA,4,0,2.429,6.585,0.019,0.012,0,0,0,0,0,0,0,1,0,0,1,0.247
"Sublegal.bathymetry+distance.to.ramp+sd.relief","bathymetry+distance.to.ramp+sd.relief",334.198231905701,353.152013348064,0.121,NA,5,0,2.443,9.139,0.019,0.003,1,0,0,0,0,0,0,1,0,1,0,0.266
"Sublegal.bathymetry+sd.relief+status","bathymetry+sd.relief+status",334.199946743664,353.908284122334,0.12131,NA,5.14,0,2.445,9.896,0.019,0.002,1,0,0,0,0,0,0,1,0,0,1,0.285
"Sublegal.log.roughness+sd.relief","log.roughness+sd.relief",334.273818183478,350.689722341137,0.10835,NA,4,0,2.519,6.677,0.019,0.012,0,0,0,0,1,0,0,1,0,0,0,0.304
"Sublegal.sd.relief+sqrt.slope","sd.relief+sqrt.slope",334.282597352917,350.698241421497,0.10812,NA,4,0,2.527,6.686,0.018,0.012,0,0,1,0,0,0,0,1,0,0,0,0.322
"Sublegal.FlowDir+sd.relief","FlowDir+sd.relief",334.349247687465,350.764346854084,0.10571,NA,4,0,2.594,6.752,0.018,0.011,0,0,0,0,0,1,0,1,0,0,0,0.34
"Sublegal.sqrt.reef","sqrt.reef",334.354551453539,350.481406061774,0.1137,NA,3.68,0,2.599,6.469,0.018,0.013,0,0,0,0,0,0,0,0,1,0,0,0.358
"Sublegal.status","status",334.519935592342,348.283667662926,0.0988,NA,3,0,2.765,4.271,0.016,0.039,0,0,0,0,0,0,0,0,0,0,1,0.374
"Sublegal.Aspect+bathymetry+sd.relief","Aspect+bathymetry+sd.relief",334.53179889685,355.01442139504,0.12502,NA,5.34,0,2.777,11.002,0.016,0.001,1,0,0,1,0,0,0,1,0,0,0,0.39
"Sublegal.Aspect+sd.relief","Aspect+sd.relief",334.584029764383,351.000532069193,0.10519,NA,4,0,2.829,6.988,0.016,0.01,0,0,0,1,0,0,0,1,0,0,0,0.406
"Sublegal.distance.to.ramp+sd.relief","distance.to.ramp+sd.relief",334.678751298636,351.068184126684,0.10537,NA,4,0,2.924,7.055,0.015,0.01,0,0,0,0,0,0,0,1,0,1,0,0.421
