"sample","family","genus","species","maxn","stereo.maxn","difference","percent.difference"
14.13,"Acanthuridae","Naso","hexacanthus",26,1,25,96.1538461538462
10.09,"Carangidae","Carangoides","caeruleopinnatus",2,4,2,100
15.12,"Lutjanidae","Pristipomoides","multidens",7,5,2,28.5714285714286
19.08,"Tetraodontidae","Lagocephalus","lunaris",3,1,2,66.6666666666667
1.01,"Nemipteridae","Pentapodus","nagasakiensis",9,8,1,11.1111111111111
1.03,"Carangidae","Seriola","rivoliana",1,2,1,100
1.03,"Lutjanidae","Pristipomoides","multidens",5,4,1,20
1.06,"Lethrinidae","Gymnocranius","euanus",3,2,1,33.3333333333333
6.01,"Lethrinidae","Gymnocranius","griseus",2,1,1,50
7.02,"Carangidae","Carangoides","chrysophrys",3,4,1,33.3333333333333
8.02,"Chaetodontidae","Chaetodon","assarius",2,3,1,50
9.02,"Lutjanidae","Pristipomoides","multidens",12,11,1,8.33333333333333
10.09,"Ariidae","Netuma","thalassina",1,2,1,100
10.11,"Lutjanidae","Pristipomoides","multidens",3,4,1,33.3333333333333
10.14,"Serranidae","Epinephelus","areolatus",1,2,1,100
11.02,"Pinguipedidae","Parapercis","nebulosa",2,1,1,50
14.13,"Carangidae","Seriola","dumerili",6,5,1,16.6666666666667
18.07,"Pinguipedidae","Parapercis","nebulosa",2,1,1,50
23.01,"Carangidae","Carangoides","chrysophrys",5,6,1,20
23.06,"Carangidae","Decapterus","spp",32,31,1,3.125
30.04,"Labridae","Suezichthys","cyanolaemus",1,2,1,100
30.05,"Lethrinidae","Lethrinus","ravus",4,5,1,25
30.06,"Lethrinidae","Gymnocranius","grandoculis",1,2,1,100
