"","sample","scientific","family","genus","species","number","length","site","FB.Length_MAX","MinLegal.WA","min.length","Fishing.mortality","Fishing.type","Cut.off","Size.Class"
"1",1.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,392.78384,1,800,"280",120,"Y","C/R",80,"Legal"
"2",1.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,350.85673,1,800,"280",120,"Y","C/R",80,"Legal"
"3",1.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,370.06287,1,800,"280",120,"Y","C/R",80,"Legal"
"4",1.03,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,463.54905,1,900,"280",135,"Y","C/R",72.5,"Legal"
"5",1.03,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,409.21426,1,900,"280",135,"Y","C/R",72.5,"Legal"
"6",1.03,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,481.64403,1,900,"280",135,"Y","C/R",72.5,"Legal"
"7",1.03,"Lutjanidae Pristipomoides filamentosus","Lutjanidae","Pristipomoides","filamentosus",1,597.91033,1,1000,"None",150,"Y","C/R",NA,"Legal"
"8",1.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,340.49631,1,800,"280",120,"Y","C/R",80,"Legal"
"9",1.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,349.74387,1,800,"280",120,"Y","C/R",80,"Legal"
"10",1.04,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,460.69206,1,900,"280",135,"Y","C/R",72.5,"Legal"
"11",1.04,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,480.8525,1,900,"280",135,"Y","C/R",72.5,"Legal"
"17",1.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,299.91305,1,800,"280",120,"Y","C/R",80,"Legal"
"18",1.05,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,372.00566,1,900,"280",135,"Y","C/R",72.5,"Legal"
"19",1.05,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,423.1245,1,900,"280",135,"Y","C/R",72.5,"Legal"
"20",1.05,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,453.75264,1,900,"280",135,"Y","C/R",72.5,"Legal"
"21",1.05,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,398.57503,1,900,"280",135,"Y","C/R",72.5,"Legal"
"22",1.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,293.90527,1,800,"280",120,"Y","C/R",80,"Legal"
"23",1.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,372.99135,1,800,"280",120,"Y","C/R",80,"Legal"
"24",1.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,380.88463,1,800,"280",120,"Y","C/R",80,"Legal"
"25",1.06,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,502.55186,1,1160,"410",174,"Y","C/R",118,"Legal"
"27",10.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,288.83692,10,800,"280",120,"Y","C/R",80,"Legal"
