"","bathy.mean"
"1",NA
"2",8.55
"3",10.65
"4",10.6
"5",9.6
"6",6.3
"7",8.4
"8",8.25
"9",8
"10",9
"11",11.25
"12",7.85
"13",10.8
"14",10.1
"15",7.4
"16",6.9
"17",5.25
"18",8.65
"19",8.35
"20",9.25
"21",10.2
"22",9.6
"23",9
"24",6.6
"25",10.8
"26",8
"27",8.5
"28",7.9
"29",7.25
"30",10.75
"31",9.1
"32",10.1
"33",7.25
"34",10.55
"35",8.55
"36",9.25
"37",8.9
"38",11.85
"39",10.3
"40",8.4
"41",6.4
"42",6.8
"43",9.25
"44",10.35
"45",6.45
"46",7.3
"47",9.65
"48",7.6
"49",8.8
"50",9.2
"51",8.65
"52",6.8
"53",8.15
"54",7.55
"55",7.45
"56",7.9
"57",9
"58",6.85
"59",10.1
"60",9.65
"61",10.45
"62",7.75
"63",7.9
"64",8.35
"65",9.25
"66",9.25
"67",9.15
"68",7.4
"69",8.8
"70",12.45
"71",9.95
"72",11.35
"73",10.25
"74",9.45
"75",6.5
"76",10.5
"77",9
"78",8.15
"79",9.25
"80",9.35
"81",10.3
"82",10.25
"83",8.5
"84",10.3
"85",9.7
"86",10.5
"87",10
"88",9.6
"89",7.7
"90",8.85
"91",6.7
"92",8.8
"93",6.7
"94",7.9
"95",10.8
"96",10.35
"97",8.2
"98",6.6
"99",11.1
"100",7.65
"101",10
"102",9.5
"103",8.4
"104",7.9
"105",9.45
"106",8.25
"107",9.2
"108",10.3
"109",9
"110",6.95
"111",9
"112",8
"113",8.5
"114",7.6
"115",9.7
"116",7.45
"117",9.4
"118",9.3
"119",10.2
"120",9.15
"121",8.2
"122",8.65
"123",9.5
"124",11
"125",11
"126",8.95
"127",9.3
"128",6.35
"129",7.85
"130",8.6
"131",8.9
"132",8.6
"133",9.85
"134",7.1
"135",8.85
"136",9.1
"137",7.85
"138",8.1
"139",9.25
"140",7.45
"141",9.4
"142",8.8
"143",7.8
"144",10.05
"145",8.45
"146",7.7
"147",9.55
"148",10.5
"149",8.15
"150",8.95
"151",12.15
"152",6.55
"153",8.2
"154",8.85
"155",6.5
"156",6.8
"157",9.45
"158",8.5
"159",12
"160",9.25
"161",9.25
"162",8.1
"163",8.9
"164",6.5
"165",8.85
"166",8.05
"167",7.3
"168",8.1
"169",10.5
"170",8.75
"171",9.7
"172",8.7
"173",9.8
"174",10.4
"175",10
"176",9.9
"177",13.95
"178",11.35
"179",8.2
"180",8.75
"181",10.9
"182",8.45
"183",9.3
"184",8.25
"185",7.65
"186",12.85
"187",8
"188",6.75
"189",9.9
"190",10.25
"191",8.85
"192",7.4
"193",7
"194",10.7
"195",7.85
"196",7.85
"197",8
"198",7.25
"199",6.55
"200",11.5
"201",8.7
"202",6.9
"203",13.25
"204",7.3
"205",10.45
"206",11.45
"207",9.1
"208",12.2
"209",10.6
"210",9.2
"211",8.2
"212",9.85
"213",7.45
"214",7.15
"215",10.15
"216",6.55
"217",9.25
"218",9.7
"219",8.2
"220",11.35
"221",7.1
"222",11.2
"223",10.45
"224",12.05
"225",10.75
"226",8.45
"227",9.25
"228",11.4
"229",9.3
"230",8.15
"231",9
"232",9.8
"233",8.95
"234",10.05
"235",9.2
"236",7.4
"237",9.75
"238",11.3
"239",8.25
"240",8.55
"241",9.45
"242",7.6
"243",7.2
"244",7.45
"245",9.4
"246",7
"247",8.45
"248",8.2
"249",9.7
"250",9.65
"251",8.05
"252",9.75
"253",9.05
"254",9.5
"255",7.85
"256",10.6
"257",7.35
"258",11.6
"259",10.3
"260",8.75
"261",9.1
"262",11.1
"263",8.9
"264",8.8
"265",10.55
"266",6.5
"267",6.3
"268",6.9
"269",8.6
"270",9.9
"271",8.9
"272",9.6
"273",10.7
"274",7.6
"275",8.8
"276",10.05
"277",8.4
"278",8.45
"279",10.5
"280",12.75
"281",7.55
"282",9.15
"283",10.9
"284",9.25
"285",7.2
"286",9.3
"287",7.35
"288",8.4
"289",6.95
"290",10.35
"291",8.1
"292",11.2
"293",9.3
"294",6.15
"295",10.1
"296",8.1
"297",5.9
"298",6.75
"299",7.95
"300",6.8
"301",9.85
"302",9.5
"303",6.9
"304",6.9
"305",7.4
"306",10.55
"307",8.7
"308",7.4
"309",6.55
"310",6.1
"311",14.55
"312",11.25
"313",9.9
"314",12.2
"315",6.6
"316",7.9
"317",11.8
"318",9.15
"319",7.8
"320",8.6
"321",7.7
"322",8.3
"323",10.35
"324",8.3
"325",9.05
"326",8.8
"327",9.45
"328",8.15
"329",9.15
"330",7.95
"331",8.9
"332",6.85
"333",7.1
"334",8.7
"335",7.35
"336",7.2
"337",6.55
"338",9.25
"339",9.55
"340",9.85
"341",9.75
"342",8
"343",6.35
"344",8.7
"345",7
"346",9.1
"347",9.55
"348",6.6
"349",8.55
"350",8.4
"351",13.25
"352",10.15
"353",8.7
"354",7.55
"355",7.95
"356",6.25
"357",7.2
"358",9.5
"359",9.6
"360",7.85
"361",9
"362",8.15
"363",8.5
"364",10.2
"365",12.5
"366",6.45
"367",12.9
"368",8.65
"369",10.75
"370",8.45
"371",8.3
"372",9
"373",6.7
"374",10.3
"375",7.7
"376",9.95
"377",7.75
"378",7.5
"379",10.35
"380",10.1
"381",8.05
"382",10.05
"383",9.15
"384",7.2
"385",8.9
"386",9.9
"387",11.1
"388",9.6
"389",9.75
"390",9.95
"391",8.95
"392",7.6
"393",8.65
"394",7.55
"395",8.05
"396",7.7
"397",8.55
"398",11.25
"399",8.55
"400",11.9
"401",9.55
"402",9.6
"403",10.1
"404",9.85
"405",9.05
"406",9.3
"407",10.45
"408",8.6
"409",9.75
"410",6.05
"411",8.25
"412",7.45
"413",7.25
"414",7.4
"415",15.95
"416",8.05
"417",8
"418",9.3
"419",10.65
"420",8.05
"421",8.4
"422",7.55
"423",7.6
"424",5.7
"425",8.8
"426",8.15
"427",11.15
"428",6.45
"429",8.45
"430",10.5
"431",8.75
"432",7.2
"433",9.55
"434",8.3
"435",8.2
"436",13.05
"437",11.55
"438",11.85
"439",9.3
"440",10
"441",9.55
"442",8.05
"443",12.75
"444",8.45
"445",6.7
"446",14.45
"447",10.55
"448",8.4
"449",5.65
"450",7.7
"451",10.3
"452",9.75
"453",12.5
"454",9.1
"455",7.15
"456",8.1
"457",9.55
"458",7.5
"459",6.55
"460",7.35
"461",8.85
"462",7.3
"463",8.8
"464",6.3
"465",8.65
"466",10.85
"467",8.55
"468",6.05
"469",11.15
"470",6.2
"471",9.2
"472",10.85
"473",7.65
"474",6.3
"475",9.3
"476",8.8
"477",7.85
"478",10.3
"479",10.65
"480",11.55
"481",9
"482",6.05
"483",9.85
"484",11.65
"485",8
"486",10
"487",8.9
"488",8.7
"489",9.7
"490",9.55
"491",8.1
"492",7.85
"493",7.95
"494",7.5
"495",6.95
"496",15.8
"497",8.95
"498",9.15
"499",6.6
"500",9.3
"501",9.2
"502",5.25
"503",8.15
"504",8.15
"505",8.85
"506",9.05
"507",9.5
"508",13.05
"509",9.55
"510",8.7
"511",10.2
"512",7.75
"513",7.55
"514",9.5
"515",8.85
"516",14.6
"517",8.8
"518",8.15
"519",8.35
"520",11.45
"521",9.8
"522",9.6
"523",7.9
"524",7.6
"525",8.15
"526",9.85
"527",9.45
"528",6.4
"529",8.1
"530",9.8
"531",6.2
"532",10.05
"533",10.45
"534",8.95
"535",9.5
"536",9.9
"537",8.55
"538",12.5
"539",11.05
"540",7.75
"541",8
"542",9
"543",9.3
"544",9.3
"545",9.5
"546",8.85
"547",8.3
"548",7.8
"549",8.15
"550",7.55
"551",9.4
"552",6.65
"553",7.7
"554",9.15
"555",10.15
