"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","sqrt.slope","cube.Aspect","log.roughness","distance.to.ramp","site","FlowDir","status","cumsum.wi"
"FlowDir.by.status+sqrt.slope.by.status+status","FlowDir.by.status+sqrt.slope.by.status+status","s(FlowDir, by = status, k = 5, bs = ""cr"") + s(sqrt.slope, by = status, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",2639.61125029694,2674.94231127835,0.02289,NA,22.13,9,0,0,0.578,0.576,1,0,0,0,0,1,1,0.578
"FlowDir.by.status+log.roughness.by.status+status","FlowDir.by.status+log.roughness.by.status+status","s(FlowDir, by = status, k = 5, bs = ""cr"") + s(log.roughness, by = status, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",2640.24322074714,2675.57428172855,0.02303,NA,22.14,8,0.632,0.632,0.421,0.42,0,0,1,0,0,1,1,0.999
"FlowDir+sqrt.slope.by.status+status","FlowDir+sqrt.slope.by.status+status","s(FlowDir, k = 5, bs = ""cr"") + s(sqrt.slope, by = status, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",2655.94021471582,2686.72608193152,0.01994,NA,18.11,8,16.329,11.784,0,0.002,1,0,0,0,0,1,1,0.999
"FlowDir+log.roughness.by.status+status","FlowDir+log.roughness.by.status+status","s(FlowDir, k = 5, bs = ""cr"") + s(log.roughness, by = status, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",2656.77173821538,2687.55760543107,0.02057,NA,18.11,8,17.16,12.615,0,0.001,0,0,1,0,0,1,1,0.999
"FlowDir.by.status+sqrt.slope+status","FlowDir.by.status+sqrt.slope+status","s(sqrt.slope, k = 5, bs = ""cr"") + s(FlowDir, by = status, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",2658.32974133891,2689.1156085546,0.01683,NA,18.09,7,18.718,14.173,0,0,1,0,0,0,0,1,1,0.999
"FlowDir.by.status+log.roughness+status","FlowDir.by.status+log.roughness+status","s(log.roughness, k = 5, bs = ""cr"") + s(FlowDir, by = status, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",2658.52144180381,2689.30730901951,0.01683,NA,18.08,7,18.91,14.365,0,0,0,0,1,0,0,1,1,0.999
"sqrt.slope.by.status+status","sqrt.slope.by.status+status","s(sqrt.slope, by = status, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",2671.45993206964,2697.51816053499,0.01978,NA,14.13,7,31.849,22.576,0,0,1,0,0,0,0,0,1,0.999
"log.roughness.by.status+status","log.roughness.by.status+status","s(log.roughness, by = status, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",2672.22510070463,2698.28332916998,0.02105,NA,14.13,7,32.614,23.341,0,0,0,0,1,0,0,0,1,0.999
"FlowDir.by.status+status","FlowDir.by.status+status","s(FlowDir, by = status, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",2674.31050452264,2700.36873298799,0.01725,NA,14.01,5,34.699,25.426,0,0,0,0,0,0,0,1,1,0.999
"FlowDir+sqrt.slope+status","FlowDir+sqrt.slope+status","s(FlowDir, k = 5, bs = ""cr"") + s(sqrt.slope, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",2674.94496178646,2701.00319025181,0.01209,NA,14.07,6,35.334,26.061,0,0,1,0,0,0,0,1,1,0.999
