"sample","mean.relief","sd.relief","fieldofview.limited","fieldofview.open","broad.bryozoa","broad.crinoids","broad.hydrocoral","broad.hydroids","broad.octocoral.black","broad.sponges","broad.unconsolidated","campaignid"
"1.01",0.421052631578947,0.507257273501788,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"1.02",0.88,0.33166247903554,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"1.03",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"1.04",0.44,0.506622805119022,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"1.05",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"1.06",0.44,0.506622805119022,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"10.01",3.35294117647059,1.57407698670405,37.5,62.5,0,0,0,0,61.76,2.94,35.29,"2019-08_Ningaloo_stereo-BRUVs"
"10.02",2.25,1.04726987617729,0,100,0,0,3.12,0,34.38,3.12,59.38,"2019-08_Ningaloo_stereo-BRUVs"
"10.03",3.23333333333333,1.63334506212068,0,100,0,0,0,3.33,60,10,26.67,"2019-08_Ningaloo_stereo-BRUVs"
"10.04",3.24,1.16476034731041,0,100,0,0,0,0,12,32,56,"2019-08_Ningaloo_stereo-BRUVs"
"10.07",3,1.02353263143832,0,100,0,0,0,4.55,22.73,22.73,50,"2019-08_Ningaloo_stereo-BRUVs"
"10.08",1.5,0.511766315719159,0,100,0,4.55,0,4.55,9.09,0,81.82,"2019-08_Ningaloo_stereo-BRUVs"
"10.09",0.904761904761905,0.436435780471985,0,100,0,0,0,0,9.52,0,90.48,"2019-08_Ningaloo_stereo-BRUVs"
"10.11",1.15789473684211,0.374634324632678,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"10.12",1.7,0.864504725870618,0,100,0,0,0,0,5,10,85,"2019-08_Ningaloo_stereo-BRUVs"
"10.13",2.51428571428571,0.853071563490998,0,100,0,0,0,0,42.86,14.29,42.86,"2019-08_Ningaloo_stereo-BRUVs"
"10.14",1.19230769230769,0.49146562599887,0,100,0,0,0,0,26.92,0,73.08,"2019-08_Ningaloo_stereo-BRUVs"
"10.15",2.19230769230769,1.05902712974619,0,100,0,0,0,0,26.92,26.92,46.15,"2019-08_Ningaloo_stereo-BRUVs"
"11.01",0.96,0.2,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"11.02",1.91666666666667,1.0179547554081,0,100,0,0,0,0,16.67,0,83.33,"2019-08_Ningaloo_stereo-BRUVs"
"11.03",1.2,0.615587011251092,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"11.04",0.96,0.2,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"11.05",0.590909090909091,0.503236279740196,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"11.06",1.04545454545455,0.722249971716872,0,100,0,0,0,0,4.55,4.55,90.91,"2019-08_Ningaloo_stereo-BRUVs"
"12.02",2.33333333333333,1.27097781860449,0,100,0,0,0,0,3.7,25.93,70.37,"2019-08_Ningaloo_stereo-BRUVs"
"12.03",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"12.04",0.6,0.5,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"12.05",0.76,0.522812904711937,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"12.06",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"12.11",2.09090909090909,1.01929438287525,0,100,0,0,0,0,4.55,13.64,81.82,"2019-08_Ningaloo_stereo-BRUVs"
"13.02",0.423076923076923,0.503831473655779,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"13.03",1.5,0.511766315719159,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"13.04",1.08,0.276887462097269,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"13.05",0.80952380952381,0.402373908081478,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"13.06",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"13.08",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"14.01",0.88,0.781024967590666,0,100,0,0,0,0,0,20,80,"2019-08_Ningaloo_stereo-BRUVs"
"14.02",1.15,1.08942283125661,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"14.03",1,0.308606699924184,0,100,0,0,0,0,0,9.09,90.91,"2019-08_Ningaloo_stereo-BRUVs"
"14.06",0.739130434782609,0.44897775854488,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"14.11",0.84,0.62449979983984,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"14.12",0.6,0.5,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"14.13",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"15.01",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs"
"15.02",0.909090909090909,0.29424494316825,0,100,0,0,0,0,0,4.55,95.45,"2019-08_Ningaloo_stereo-BRUVs"
"15.05",1.11538461538462,0.325812593608421,0,100,0,0,0,0,7.69,0,92.31,"2019-08_Ningaloo_stereo-BRUVs"
