"id","sample","family","genus","species","length","range","type","longitude","latitude","date","time","time.out","site","location","status","depth","observer","maxn.complete.yyyymmdd","maxn.checker","successful.count","successful.length","left.cam","right.cam","rear.cam","video.notes","raw.hd","con.hd","forward.habitat.image.saved","backward.habitat.image.saved","habitat.classification","length.analyst","length.complete.date.yyyymmdd","notes","campaignid"
"1.01",1.01,"Balistidae","Abalistes","stellatus",303.99529,3649.3823,"new",113.5404917,-22.84786205,12082019,09:23:00,10:33:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202","Two lat and lons in file given by CSIRO","2019-08_Ningaloo_stereo-BRUVs"
"1.01",1.01,"Carangidae","Carangoides","chrysophrys",619.21661,4988.00934,"new",113.5404917,-22.84786205,12082019,09:23:00,10:33:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202","Two lat and lons in file given by CSIRO","2019-08_Ningaloo_stereo-BRUVs"
"1.01",1.01,"Carangidae","Decapterus","spp",329.9371,2650.3647,"new",113.5404917,-22.84786205,12082019,09:23:00,10:33:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202","Two lat and lons in file given by CSIRO","2019-08_Ningaloo_stereo-BRUVs"
"1.01",1.01,"Carangidae","Gnathanodon","speciosus",405.07652,4895.56544,"new",113.5404917,-22.84786205,12082019,09:23:00,10:33:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202","Two lat and lons in file given by CSIRO","2019-08_Ningaloo_stereo-BRUVs"
"1.01",1.01,"Labridae","Coris","caudimacula",60.32225,1252.18427,"new",113.5404917,-22.84786205,12082019,09:23:00,10:33:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202","Two lat and lons in file given by CSIRO","2019-08_Ningaloo_stereo-BRUVs"
"1.01",1.01,"Nemipteridae","Pentapodus","nagasakiensis",62.92525,2932.18663,"new",113.5404917,-22.84786205,12082019,09:23:00,10:33:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202","Two lat and lons in file given by CSIRO","2019-08_Ningaloo_stereo-BRUVs"
"1.01",1.01,"Nemipteridae","Pentapodus","nagasakiensis",48.98342,3475.24017,"new",113.5404917,-22.84786205,12082019,09:23:00,10:33:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202","Two lat and lons in file given by CSIRO","2019-08_Ningaloo_stereo-BRUVs"
"1.01",1.01,"Nemipteridae","Pentapodus","nagasakiensis",47.72524,2690.45092,"new",113.5404917,-22.84786205,12082019,09:23:00,10:33:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202","Two lat and lons in file given by CSIRO","2019-08_Ningaloo_stereo-BRUVs"
"1.01",1.01,"Nemipteridae","Pentapodus","nagasakiensis",72.02381,2613.11607,"new",113.5404917,-22.84786205,12082019,09:23:00,10:33:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202","Two lat and lons in file given by CSIRO","2019-08_Ningaloo_stereo-BRUVs"
"1.01",1.01,"Nemipteridae","Pentapodus","nagasakiensis",68.8576,2692.6673,"new",113.5404917,-22.84786205,12082019,09:23:00,10:33:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202","Two lat and lons in file given by CSIRO","2019-08_Ningaloo_stereo-BRUVs"
