"sample","mass.total","mass.20cm","mass.30cm"
"1.01",9736.73755594439,9697.28883686995,8592.80921128911
"1.02",17518.9645865961,17517.7527914589,13988.3624919907
"1.03",18759.480840437,18759.480840437,18736.7925212258
"1.04",31564.9731822043,31564.9731822043,30672.3820265046
"1.05",19799.831713635,19799.831713635,13847.7533788712
"1.06",65625.0500450321,65625.0500450321,61671.1287315564
"10.01",30756.8270643925,30756.8270643925,28653.0860700766
"10.02",12628.6575204218,12499.5155243452,11672.554793851
"10.03",48931.939433896,47251.3202813981,34308.575921992
"10.04",14829.5363399074,14816.1087199086,14323.9110265861
"10.07",3962.96828537549,3879.46543423951,3426.72601848114
"10.08",457.04428051233,457.04428051233,0
"10.09",33147.0909137182,32752.5502147559,31994.2249052607
"10.11",15202.4852855647,14759.8370976244,13037.4959761927
"10.12",8033.17276991076,8033.17276991076,8033.17276991076
"10.13",61553.4703984743,61440.2033852641,60966.369838661
"10.14",44673.949455809,44657.4000241503,43337.5569461636
"10.15",44939.8679049784,44938.2221055669,44415.0383568268
"11.01",5861.72133465573,5812.48934766921,4913.23070561625
"11.02",11427.40359351,11066.8942171075,11066.8942171075
"11.03",7566.18781924429,7453.81163789855,6953.24869220893
"11.04",18605.1480136041,18604.9693744676,13278.5016845087
"11.05",10742.940533234,10742.0940907963,10742.0940907963
"11.06",1955.92689169448,1905.02923967192,1430.46186731992
"12.02",25042.914992581,24852.6499662958,24561.1121787103
"12.03",26784.4836832468,26647.1014666374,25380.3629864574
"12.04",17577.1054098122,17577.1054098122,15225.2928594175
"12.05",14403.3180494989,14403.3180494989,12486.2478513174
"12.06",7883.81738877131,7883.81738877131,7883.81738877131
"12.11",2447.35307928698,2247.16313821061,1683.27726864199
"13.02",24986.3679389137,24986.3679389137,22524.5688573571
"13.03",19213.2133171915,19213.2133171915,19213.2133171915
"13.04",17855.814173657,17798.7623661514,16140.6319240861
"13.05",24314.8446393353,24314.8446393353,24314.8446393353
"13.06",89532.0412139747,89532.0412139747,89532.0412139747
"13.08",26782.5325748946,26782.5325748946,25288.0307113768
"14.01",21839.0629017468,21228.8902721542,18592.5579782668
"14.02",35866.3750683047,35866.3750683047,33721.9819832998
"14.03",14156.8829466881,14155.1141148929,12366.7395772972
"14.06",17927.7395988483,17927.3901119844,16636.3526781578
"14.11",34406.4874774351,34406.4874774351,32825.0960583184
"14.12",52387.2884462036,52387.2884462036,51809.7399613833
"14.13",55969.9890224894,54899.7537351406,53849.5811513977
"15.01",41839.0586152318,41732.1181295172,30829.2980842185
"15.02",36372.7002248855,36372.7002248855,32520.0892378096
"15.05",22020.2632530023,22020.2632530023,21635.7336563904
"15.07",21903.3062125782,21903.3062125782,18158.0578586985
"15.12",34911.0989148761,34908.0046662864,34908.0046662864
"16.01",14085.7004315317,14085.7004315317,13844.9817853714
"16.02",14944.2134249349,14944.2134249349,14944.2134249349
"16.03",5599.36163808087,5526.06269061289,5526.06269061289
"16.04",8881.65673511143,8881.65673511143,2757.0867536833
"16.05",17875.8579018386,17544.3678350171,15415.9058265144
"17.08",29511.3621769258,29511.3621769258,26258.8825273799
"18.01",12059.5376126681,12059.5376126681,9114.21051844046
"18.02",79276.7131157554,79276.7131157554,78140.4962835764
"18.03",13610.7519665709,13606.752219567,13135.9967582178
"18.04",44683.7565781144,44320.3883104348,43095.2875358025
"18.07",137409.241367948,137386.642218384,130867.781540601
"18.08",14633.9070866124,14633.9070866124,14633.9070866124
"19.01",14266.1008029778,14266.0832184032,10661.3206602146
