"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","sqrt.slope","cube.Aspect","log.roughness","distance.to.ramp","sd.relief","mean.relief","sqrt.reef","status","cumsum.wi"
"cube.Aspect+distance.to.ramp","cube.Aspect+distance.to.ramp",496.974052763296,518.131884837976,0.00357,NA,13,0,0,3.58,0.24,0.041,0,1,0,1,0,0,0,0,0.24
"cube.Aspect+status","cube.Aspect+status",498.578303952634,517.223995125416,0.01821,NA,10,0,1.604,2.672,0.108,0.065,0,1,0,0,0,0,0,1,0.348
"distance.to.ramp","distance.to.ramp",498.579969855713,514.673661341503,0.00533,NA,9,0,1.606,0.122,0.108,0.234,0,0,0,1,0,0,0,0,0.456
"distance.to.ramp+sqrt.slope","distance.to.ramp+sqrt.slope",499.048563049652,520.206395124332,0.00709,NA,13,0,2.075,5.655,0.085,0.015,1,0,0,1,0,0,0,0,0.541
"sqrt.slope+status","sqrt.slope+status",499.336892693308,517.98258386609,0.04002,NA,10,0,2.363,3.431,0.074,0.045,1,0,0,0,0,0,0,1,0.615
"cube.Aspect+distance.to.ramp+sqrt.reef","cube.Aspect+distance.to.ramp+sqrt.reef",499.695238026446,525.753466491796,0.02483,NA,17,2,2.721,11.202,0.062,0.001,0,1,0,1,0,0,1,0,0.677
"cube.Aspect+distance.to.ramp+sd.relief","cube.Aspect+distance.to.ramp+sd.relief",501.116917692084,527.175146157435,0.00911,NA,17,2,4.143,12.623,0.03,0,0,1,0,1,1,0,0,0,0.707
"status","status",501.202431553304,514.70529539766,0.02879,NA,6,0,4.228,0.153,0.029,0.23,0,0,0,0,0,0,0,1,0.736
"cube.Aspect","cube.Aspect",501.284085020057,517.377776505847,0.00143,NA,9,0,4.31,2.826,0.028,0.06,0,1,0,0,0,0,0,0,0.764
"cube.Aspect+distance.to.ramp+mean.relief","cube.Aspect+distance.to.ramp+mean.relief",501.395469343475,527.453697808826,0.00734,NA,17,2,4.421,12.902,0.026,0,0,1,0,1,0,1,0,0,0.79
