"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","sqrt.slope","cube.Aspect","log.roughness","distance.to.ramp","sd.relief","mean.relief","sqrt.reef","status","cumsum.wi"
"sd.relief","sd.relief","s(sd.relief, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",897.952321911299,916.59801308408,0.19777,NA,9.01,4,0,1.594,0.146,0.173,0,0,0,0,1,0,0,0,0.146
"sqrt.reef","sqrt.reef","s(sqrt.reef, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",898.003675282821,916.649366455603,0.10989,NA,9,2,0.051,1.645,0.143,0.168,0,0,0,0,0,0,1,0,0.289
"cube.Aspect+sd.relief","cube.Aspect+sd.relief","s(cube.Aspect, k = 5, bs = ""cr"") + s(sd.relief, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",898.465226199006,922.094272744463,0.38,NA,13,6,0.513,7.09,0.113,0.011,0,1,0,0,1,0,0,0,0.402
"cube.Aspect+sqrt.reef","cube.Aspect+sqrt.reef","s(cube.Aspect, k = 5, bs = ""cr"") + s(sqrt.reef, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",898.987567058702,922.616613604158,0.30377,NA,13,4,1.035,7.612,0.087,0.009,0,1,0,0,0,0,1,0,0.489
"sqrt.reef+status","sqrt.reef+status","s(sqrt.reef, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",899.378691341122,920.536523415802,0.14143,NA,10,0,1.426,5.532,0.072,0.024,0,0,0,0,0,0,1,1,0.561
"cube.Aspect","cube.Aspect","s(cube.Aspect, k = 5, bs = ""cr"") + s(bathymetry, k = 5, bs = ""cr"")",899.539414689354,918.185105862136,0.11394,NA,9,4,1.587,3.181,0.066,0.078,0,1,0,0,0,0,0,0,0.627
"sd.relief+status","sd.relief+status","s(sd.relief, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",900.198629377248,921.356461451929,0.20983,NA,10.01,4,2.246,6.352,0.048,0.016,0,0,0,0,1,0,0,1,0.675
"cube.Aspect+sd.relief+status","cube.Aspect+sd.relief+status","s(cube.Aspect, k = 5, bs = ""cr"") + s(sd.relief, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",900.653949532017,926.712177997367,0.37366,NA,14,6,2.702,11.708,0.038,0.001,0,1,0,0,1,0,0,1,0.713
"cube.Aspect+sqrt.reef+status","cube.Aspect+sqrt.reef+status","s(cube.Aspect, k = 5, bs = ""cr"") + s(sqrt.reef, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",901.076562521355,927.134790986705,0.30388,NA,14,3,3.124,12.131,0.031,0.001,0,1,0,0,0,0,1,1,0.744
"cube.Aspect+status","cube.Aspect+status","s(cube.Aspect, k = 5, bs = ""cr"") + status + s(bathymetry, k = 5, bs = ""cr"")",901.276207547237,922.434039621917,0.12454,NA,10,3,3.324,7.43,0.028,0.009,0,1,0,0,0,0,0,1,0.772
