"","sample","scientific","family","genus","species","FB.Length_MAX","Fishing.mortality","Fishing.type","MinLegal.WA"
"1",1.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"2",1.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"3",1.03,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"4",1.03,"Lutjanidae Pristipomoides filamentosus","Lutjanidae","Pristipomoides","filamentosus",1000,"Y","C/R",NA
"5",1.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"6",1.04,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"7",1.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"8",1.05,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"9",1.05,"Scombridae Scomberomorus commerson","Scombridae","Scomberomorus","commerson",2400,"Y","C/R",900
"10",1.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"11",1.06,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"12",10.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"13",10.01,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"14",10.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"15",10.02,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"16",10.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
